Year,Firm,ESG controversy score,Environment controversy score,Social controvery score,Governance controversy score,Score - Emission Reduction/Biodiversity Controversies (Inactive),Score - Emission Reduction/Spill/Pollution Controversies (Inactive),Score - Product Innovation/Product Impact Controversies (Inactive),Score - Resource Reduction/Environment Impact Controversy (Inactive),Score - Client Loyalty/Anti-competition Controversy (Inactive),Score - Community/Bribery Corruption Fraud Controversies (Inactive),Score - Community/Critical Countries-Indigenous Controversy (Inactive),Score - Community/Public Health Controversies (Inactive),Score - Diversity and Opportunity/Diversity Controversies (Inactive),Score - Employment Quality/Wages Work Condition Controversy (Inactive),Score - Health & Safety/Health & Safety Controversies (Inactive),Score - Human Rights/Child Labor Controversies (Inactive),Score - Human Rights/Freedom of Association Controversies (Inactive),Score - Human Rights/Human Rights Controversies (Inactive),Score - Product Responsibility/Customer Controversies (Inactive),Score - Product Responsibility/Responsible Mrktg Controversy(Inactive),Score - Product Responsibility/Social Exclusion Controversy (Inactive),Score - Compensation Policy/Compensation Controversies (Inactive),Score - Shareholder Loyalty/Accounting Controversies (Inactive),Score - Shareholder Loyalty/Insider Dealings Controversies (Inactive),Score - Shareholder Rights/Shareholder Controversies (Inactive),mv,mc,tobin,roe,oia,ois,esg_score,esg_binaire,csr_com,csr_report,assets,roa,sg,lev,div,ind,country
2014,NOBIA,51.96,55.255,55.58538462,52.2175,53.67,61,52.59,53.76,59.29,63.28,52.85,53.76,54.12,57.27,56.58,51.97,51.97,52.37,60.06,59.09,50,52.66,52.52,52.85,50.84,9553.48,11684950,1.422,11.13,0.111096398,0.067704971,49.92,0,1,1,7552000,0.22,5.26,10.7,0.92,60,SE
2015,NOBIA,54.41,54.88,53.58307692,51.46,53.4,60.38,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,54.18,50,51.52,51.31,52.08,50.93,12226.7,17837818,1.59,-0.88,0.140904446,0.082733273,55.65,0,1,1,7828000,11.03,7.59,10.3,1.43,60,SE
2016,NOBIA,2.2,55.0975,53.7,51.92,53.13,59.54,52.16,55.56,58.44,61.12,52.32,52.76,52.76,54.47,53.5,50.7,50.7,51.4,56.85,53.08,50,51.48,52.16,52.48,51.56,18581.09,14294974,2.282,21.71,0.158896411,0.098355471,59.29,1,1,1,7829000,6.07,3.11,10.23,1.65,60,SE
2017,NOBIA,53.76,54.665,54.02692308,52.285,52.99,59,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,54.08,50,51.63,52.54,52.06,52.91,14838.57,11699722,1.799,13.35,0.17884452,0.099105461,65.05,1,1,1,7062000,13.73,0.76,0.01,2.95,60,SE
2018,NOBIA,56.86,53.14,54.97230769,53.725,51.39,54.86,51.04,55.27,60.98,64.61,51.91,53.15,54.61,56.14,53.89,51.04,51.31,51.47,59.09,56.44,50,52.71,53.86,53.12,55.21,12165.35,8306142,1.584,24.43,0.138349198,0.080324022,64.46,1,1,1,7669000,10.37,3.65,11.94,4.32,60,SE
2013,NOBINA,, , , ,,,,,,,,,,,,,,,,,,,,,,  ,,,,0.045469912,0.037298946,,0,,,5916000,,,72.62,  ,131,SE
2014,NOBINA,, , , ,,,,,,,,,,,,,,,,,,,,,,  ,,,32.09,0.060585198,0.048424818,,0,,,5810000,3.41,0.79,69.67,  ,131,SE
2015,NOBINA,, , , ,,,,,,,,,,,,,,,,,,,,,,  ,,,25,0.063347719,0.054444297,,0,,,6488000,4.05,3.85,67.8,  ,131,SE
2016,NOBINA,, , , ,,,,,,,,,,,,,,,,,,,,,,3419.36,3057107,0.987,-1.37,0.075626907,0.068534327,,0,,,7537000,3.71,10.17,62.27,0,131,SE
2017,NOBINA,62.35,54.665, ,52.285,52.99,59,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,,50,51.63,52.54,52.06,52.91,4572.4,4881651,1.202,22.29,0.066396549,0.057349289,61.22,1,1,1,7651000,8.64,6.5,58.96,40.65,131,SE
2018,NOBINA,68.9,53.14, ,53.725,51.39,54.86,51.04,55.27,60.98,64.61,51.91,53.15,54.61,56.14,53.89,51.04,51.31,51.47,59.09,,50,52.71,53.86,53.12,55.21,4771.2,4877234,1.135,36.28,0.070161504,0.058280185,55.73,0,1,1,7554000,4.96,2.66,57.03,5.76,131,SE
2013,NOKIA,1.72,54.495, ,38.9975,53.21,59.21,52.18,53.38,58.41,0.2,52.57,54.63,54.38,0,56.77,51.05,51.82,52.71,59.23,,50,0,52.18,53.21,50.6,10957.73,21606324,0.259,-38.53,0.038105428,0.072861752,82.45,1,1,1,24301000,-2.11,-57.88,27.41,6.84,126,FI
2014,NOKIA,6.9,55.255, ,52.2175,53.67,61,52.59,53.76,59.29,0.16,52.85,53.76,54.12,0,56.58,51.97,51.97,52.37,60.06,,50,52.66,52.52,52.85,50.84,21795.86,23931821,0.79,-9.51,0.075069509,0.108152686,89.31,1,1,1,18343000,18.07,0.18,14.68,0,126,FI
2015,NOKIA,61.9,54.88, ,51.46,53.4,60.38,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,,50,51.52,51.31,52.08,50.93,24567.41,25978991,1.02,40.2,0.094686202,0.138571086,93.44,1,1,1,18292000,14.05,6.27,11.34,1.68,126,FI
