location;date;cases;deaths;tests;vaccinations
Albania;19.12.2020;538.0;8.0;2276.0;
Albania;20.12.2020;461.0;14.0;1927.0;
Albania;21.12.2020;422.0;10.0;1908.0;
Albania;22.12.2020;389.0;13.0;2420.0;
Albania;23.12.2020;503.0;6.0;2210.0;
Albania;24.12.2020;510.0;8.0;2198.0;
Albania;25.12.2020;553.0;9.0;2184.0;
Albania;26.12.2020;375.0;9.0;1889.0;
Albania;27.12.2020;499.0;10.0;2165.0;
Albania;28.12.2020;318.0;11.0;1508.0;
Albania;29.12.2020;574.0;6.0;2682.0;
Albania;30.12.2020;581.0;4.0;2681.0;
Albania;31.12.2020;589.0;7.0;2350.0;
Albania;01.01.2021;0.0;0.0;1858.0;
Albania;02.01.2021;675.0;9.0;1025.0;
Albania;03.01.2021;447.0;3.0;2309.0;
Albania;04.01.2021;185.0;6.0;1281.0;
Albania;05.01.2021;660.0;11.0;3424.0;
Albania;06.01.2021;725.0;7.0;3906.0;
Albania;07.01.2021;697.0;6.0;3668.0;
Albania;08.01.2021;673.0;7.0;3927.0;
Albania;09.01.2021;655.0;3.0;4499.0;
Albania;10.01.2021;562.0;8.0;2997.0;
Albania;11.01.2021;376.0;6.0;1575.0;
Albania;12.01.2021;656.0;5.0;3727.0;
Albania;13.01.2021;707.0;4.0;3307.0;60.0
Albania;14.01.2021;660.0;5.0;3695.0;78.0
Albania;15.01.2021;641.0;4.0;3530.0;42.0
Albania;16.01.2021;581.0;5.0;3029.0;61.0
Albania;17.01.2021;474.0;7.0;2521.0;36.0
Albania;18.01.2021;292.0;4.0;2343.0;42.0
Albania;19.01.2021;586.0;6.0;2510.0;36.0
Albania;20.01.2021;670.0;4.0;3331.0;36.0
Albania;21.01.2021;678.0;5.0;3088.0;30.0
Albania;22.01.2021;739.0;7.0;3314.0;
Albania;23.01.2021;786.0;7.0;3513.0;
Albania;24.01.2021;833.0;5.0;3511.0;
Albania;25.01.2021;538.0;9.0;1918.0;
Albania;26.01.2021;879.0;8.0;3605.0;
Albania;27.01.2021;876.0;7.0;3512.0;
Albania;28.01.2021;887.0;11.0;3891.0;
Albania;29.01.2021;896.0;8.0;3761.0;
Albania;30.01.2021;901.0;11.0;3864.0;
Albania;31.01.2021;876.0;11.0;3144.0;
Albania;01.02.2021;865.0;13.0;2960.0;
Albania;02.02.2021;942.0;5.0;3856.0;
Albania;03.02.2021;1007.0;6.0;3849.0;
Albania;04.02.2021;1052.0;14.0;3974.0;
Albania;05.02.2021;1089.0;15.0;4270.0;
Albania;06.02.2021;1130.0;13.0;4539.0;
Albania;07.02.2021;1124.0;14.0;;
Albania;08.02.2021;953.0;12.0;3485.0;
Albania;09.02.2021;1239.0;16.0;4562.0;
Albania;10.02.2021;1143.0;15.0;4083.0;
Albania;11.02.2021;1105.0;14.0;4092.0;
Albania;12.02.2021;1059.0;14.0;3982.0;
Albania;13.02.2021;1152.0;12.0;3994.0;
Albania;14.02.2021;1088.0;12.0;3885.0;
Albania;15.02.2021;775.0;12.0;;
Albania;16.02.2021;801.0;15.0;3842.0;
Albania;17.02.2021;1075.0;18.0;3901.0;
Albania;18.02.2021;1112.0;17.0;3935.0;1348.0
Albania;19.02.2021;1071.0;19.0;3848.0;1128.0
Albania;20.02.2021;1153.0;17.0;3975.0;
Albania;21.02.2021;1184.0;13.0;4013.0;
Albania;22.02.2021;1039.0;15.0;3258.0;
Albania;23.02.2021;1021.0;15.0;3998.0;
Albania;24.02.2021;1021.0;19.0;3897.0;
Albania;25.02.2021;986.0;21.0;3691.0;
Albania;26.02.2021;916.0;20.0;3689.0;
Albania;27.02.2021;986.0;19.0;3957.0;
Albania;28.02.2021;952.0;21.0;3805.0;
Albania;01.03.2021;764.0;20.0;2714.0;
Albania;02.03.2021;892.0;19.0;3369.0;
Albania;03.03.2021;851.0;21.0;3149.0;
Albania;04.03.2021;847.0;20.0;;
Albania;05.03.2021;780.0;21.0;;
