Title,Year,Genres,Duration,Rating,MPA,Votes
189. Testament of Youth,2014,"['Period Drama', 'Biography', 'Drama', 'History', 'War']",2h 9m,7.2,PG-13,31K
190. Meet the Patels,2014,"['Animation', 'Comedy', 'Documentary', 'Romance']",1h 28m,7.1,PG,3.6K
191. The Letters,2014,['Drama'],1h 54m,6.2,PG,1.1K
192. Persecuted,2014,"['Political Thriller', 'Action', 'Drama', 'Mystery', 'Thriller']",1h 31m,3.5,PG-13,1.7K
193. Awake: The Life of Yogananda,2014,"['Faith & Spirituality Documentary', 'Documentary']",1h 27m,7.3,PG,1.4K
194. Fed Up,2014,"['Food Documentary', 'Documentary']",1h 32m,7.7,PG,12K
195. Pride,2014,"['Biography', 'Comedy', 'Drama', 'History', 'Romance']",1h 59m,7.8,R,63K
"196. Two Days, One Night",2014,"['Tragedy', 'Workplace Drama', 'Drama']",1h 35m,7.3,PG-13,51K
197. Infinitely Polar Bear,2014,"['Comedy', 'Drama', 'Romance']",1h 30m,6.9,R,17K
198. 99 Homes,2014,"['Crime', 'Drama']",1h 52m,7.1,R,39K
199. Force Majeure,2014,"['Dark Comedy', 'Comedy', 'Drama']",2h,7.2,R,69K
200. The Salt of the Earth,2014,"['Biography', 'Documentary', 'History']",1h 50m,8.4,PG-13,24K
201. Iris,2014,"['Biography', 'Documentary', 'History']",1h 19m,7.1,PG-13,4.7K
202. '71,2014,"['Period Drama', 'Action', 'Crime', 'Drama', 'Thriller', 'War']",1h 39m,7.2,R,62K
203. Jai Ho,2014,"['Action', 'Drama']",2h 15m,5.0,Not Rated,21K
204. Singham Returns,2014,"['Cop Drama', 'One-Person Army Action', 'Action', 'Crime', 'Drama']",2h 22m,5.7,Not Rated,11K
205. Goodnight Mommy,2014,"['Psychological Horror', 'Tragedy', 'Horror', 'Mystery', 'Thriller']",1h 39m,6.7,R,62K
206. Black Sea,2014,"['Adventure', 'Drama', 'Thriller']",1h 54m,6.4,R,42K
207. The Remaining,2014,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",1h 28m,4.3,PG-13,9.2K
208. Where Hope Grows,2014,"['Drama', 'Family']",1h 35m,6.6,PG-13,4.3K
209. Hector and the Search for Happiness,2014,"['Satire', 'Slapstick', 'Adventure', 'Comedy', 'Drama']",1h 54m,6.9,R,51K
210. The Rover,2014,"['Dystopian Sci-Fi', 'Road Trip', 'Action', 'Crime', 'Drama', 'Sci-Fi']",1h 43m,6.4,R,52K
211. Leviathan,2014,"['Dark Comedy', 'Gangster', 'Legal Drama', 'Tragedy', 'Crime', 'Drama']",2h 20m,7.6,R,58K
212. Timbuktu,2014,"['Drama', 'War']",1h 36m,7.1,PG-13,19K
213. The Captive,2014,"['Crime', 'Drama', 'Mystery', 'Thriller']",1h 52m,5.9,R,36K
214. Laggies,2014,"['Comedy', 'Drama', 'Romance']",1h 39m,6.4,R,46K
215. 50 to 1,2014,['Drama'],1h 50m,6.3,PG-13,2.3K
216. Haider,2014,"['Crime', 'Drama', 'Thriller']",2h 40m,8.0,Not Rated,59K
217. Dior and I,2014,['Documentary'],1h 30m,7.2,R,4.1K
218. 5 Flights Up,2014,"['Comedy', 'Drama']",1h 28m,6.2,PG-13,11K
219. The Song,2014,"['Drama', 'Music', 'Romance']",1h 56m,5.9,PG-13,2.3K
220. Big Stone Gap,2014,"['Comedy', 'Family', 'Mystery', 'Romance']",1h 43m,5.8,PG-13,3.4K
221. Gett,2014,['Drama'],1h 55m,7.7,Not Rated,7K
222. The Babadook,2014,"['Monster Horror', 'Psychological Horror', 'Supernatural Horror', 'Drama', 'Horror', 'Mystery']",1h 34m,6.8,Not Rated,257K
