Total Comp,Top 20,Wide Industry,Company,CEO,City of Birth,State of Birth,Age,Undergrad,UG Degree,UG Date,AgeOfUnder,Graduate,Grad Degree,MBA?,MasterPhd?,G_date,AgeOfGradu,YearsFirm,YearsCEO,Salary,Bonus,other,St_gains,Comp for 5 yrs,Stock owned,Sales,Profits,Return over 5 yrs,Industry,Industry Code
1144850,FALSE,Retailing,Dayton Hudson,Mr. Robert J Ulrich,Minneapolis,MN,50,U of Minnesota,BA,67,23,,none,0,0,,,27,1,842796,,302050,,,0.011,19233,375,12,Retailing-drugdiscount,6
1140670,FALSE,Forest,Temple-Inland,Mr. Clifford J Grum,Davenport,IA,59,Austin C,BA,56,21,U of Pennsylvan,MBA,1,1,58,23,26,10,495250,100000,2500,542921,9785850,0.577,2736,67.4,15,Forest products-packaging,9
1131800,FALSE,Business,Browning-Ferris Indu,Mr. William D Ruckelshaus,Indianapolis,IN,61,Princeton,BA,57,24,Harvard,LLB,0,1,60,27,7,6,828000,297500,6304,,4988490,0.015,3581,204.1,-1,Business-environmentalwaste,10
1130950,FALSE,Consumer,Clorox,Mr. G CraigSullivan,Huntington,NY,54,Boston C,BS,64,24,,none,0,0,,,23,2,457500,351000,104816,217631,,0.014,1644,204.2,14,Consumer nondurables-personal products,18
1128420,FALSE,ComputersComm,Ameritech,Mr. Richard C Notebaert,Canada,,46,U of Wisc Madis,BA,69,21,U of Wisc Milwa,MBA,1,1,83,35,25,1,447204,351000,330212,,,0.007,11710,1512.8,14,Computerscommunications-telecommun,16
1124520,FALSE,Financial,Roosevelt Financial,Mr. Stanley J Bradshaw,Terre Haute,IN,36,Indiana State U,BS,79,21,Butler U,MBA,1,1,84,26,8,3,290000,174000,167008,493515,2213660,1.267,244,38.1,35,Financial services-regional banks,1
1121950,FALSE,Financial,Central Fidelity Ban,Mr. Carroll L Saine,Lincolnton,NC,59,Lenoir-Rhyne C,BA,54,19,U of Richmond,MS,0,1,65,30,37,13,795540,,60253,266152,4092920,0.246,740,102.9,24,Financial services-regional banks,1
1121290,FALSE,Financial,First Hawaiian,Mr. Walter A Dods Jr,Honolulu,HI,52,U of Hawaii,BBA,67,25,,none,0,0,,,25,5,711190,334021,76077,,4890590,0.825,512,78.2,13,Financial services-regional banks,1
1120070,FALSE,Energy,Sun Co,Mr. Robert H Campbell,Pittsburgh,PA,56,Princeton,BS,59,21,MIT,MBA,1,1,78,40,34,3,498680,474600,146785,,2234390,0.022,7297,283,4,Energy-other energy,12
1118650,FALSE,Insurance,John Alden Financial,Mr. Glendon E Johnson,Cleveland,UT,70,U of Utah,BS,48,24,Harvard,LLD,0,1,52,28,9,9,425325,579847,113474,,,0.376,1407,80,79,Insurance-lifehealth,4
1117850,FALSE,Business,Equifax,Mr. C B Rogers Jr,New York,NY,64,Gettysburg C,BA,51,21,George Washingt,MBA,1,1,62,32,7,5,496184,,621670,,5342210,0.451,1217,63.5,15,Business-services,13
1117250,FALSE,Financial,State Street Boston,Mr. Marshall N Carter,Newport News,VA,54,US Military Aca,BSC,62,22,George Washingt,MA,0,1,76,36,3,2,643753,450000,23497,,3380830,0.001,1532,179.8,23,Financial services-regional banks,1
1116990,FALSE,Energy,Amoco,Mr. H LauranceFuller,Moline,IL,55,Cornell,BSC,61,22,DePaul U,JD,0,1,65,26,33,3,810655,,306330,,6648030,0.016,25336,1820,10,Energy-international oils,12
1114580,FALSE,Entertainment,EW Scripps,Mr. Lawrence A Leser,Cincinnati,OH,59,Xavier U,BS,57,22,,none,0,0,,,26,9,630000,250000,234578,,5517900,0.059,1206,128.7,8,Entertainmentinformation-publishing,17
1113340,FALSE,Insurance,Safeco,Mr. Roger H Eigsti,Vancouver,WA,52,Linfield C,BS,64,22,,none,0,0,,,22,2,516667,51667,295013,249992,2476230,0.054,3517,425.9,17,Insurance-diversified,4
1112450,FALSE,Food,Brown-Forman,Mr. OwsleyBrown II,Louisville,KY,51,Yale,BA,64,21,Stanford U,MBA,1,1,66,23,26,1,398874,303525,388623,21432,,15.275,1409,163.3,10,Fooddrinktobacco-beverages,2
1110120,FALSE,Utility,SCEcorp,Mr. John E Bryson,New York,NY,50,Stanford U,BA,65,21,Yale,JD,0,1,69,25,10,4,600000,325000,185118,,3800110,0.001,7821,639,8,Electric utilities-western,19
