Rank;Company;Previous Rank;Revenues ($M);Profits ($M);Assets ($M);Market Value ($M);Employees;CEO;CEO Title;CEO Gender;Sector;Industry;Years on Fortune 500 List;City;State;Latitude;Longitude
48;Archer Daniels Midland;45;60828;1595;39963;24238;31300;Juan R. Luciano;Chairman, President &  Chief Executive Officer;Male;Food, Beverages &  Tobacco;Food Production;24;Chicago;IL;41.8781136;-87.6297982
49;Aetna;43;60535;1904;55151;55229;47950;Mark T. Bertolini;Chairman &  Chief Executive Officer;Male;Health Care;Health Care: Insurance and Managed Care;18;Hartford;CT;41.7658043;-72.6733723
50;FedEx;58;60319;2997;48552;64161;357000;Frederick W. Smith;Chairman &  Chief Executive Officer;Male;Transportation;Mail, Package, and Freight Delivery;24;Memphis;TN;35.1495343;-90.0489801
51;United Technologies;50;59837;4552;96920;100667;204700;Gregory J. Hayes;Chairman, President &  Chief Executive Officer;Male;Aerospace &  Defense;Aerospace and Defense;24;Farmington;CT;41.7360305;-72.795027
52;Prudential Financial;48;59689;7863;831921;43686;49705;John R. Strangfeld;Chairman, President &  Chief Executive Officer;Male;Financials;Insurance: Life, Health (stock);24;Newark;NJ;40.735657;-74.1723667
53;Albertsons Cos.;49;59678;-373.3;23755;NA;273000;Robert G. Miller;Chairman &  Chief Executive Officer;Male;Food &  Drug Stores;Food and Drug Stores;14;Boise;ID;43.6150186;-116.2023137
54;Sysco;57;55371;1142.5;17757;31294;66500;Thomas L. Bene;President, Chief Executive Officer &  Director;Male;Wholesalers;Wholesalers: Food and Grocery;24;Houston;TX;29.7604267;-95.3698028
55;Disney;52;55137;8980;95789;151029;199000;Robert A. Iger;Chairman &  Chief Executive Officer;Male;Media;;24;Burbank;CA;34.1808392;-118.3089661
56;Humana;53;53767;2448;27178;37122;45900;Bruce D. Broussard;President, Chief Executive Officer &  Director;Male;Health Care;Health Care: Insurance and Managed Care;24;Louisville;KY;38.2526647;-85.7584557
57;Pfizer;54;52546;21308;171797;211115;90200;Ian C. Read;Chairman &  Chief Executive Officer;Male;Health Care;Pharmaceuticals;24;New York;NY;40.7127753;-74.0059728
58;HP;61;52056;2526;32913;35893;49000;Dion J. Weisler;President, Chief Executive Officer &  Director;Male;Technology;;24;Palo Alto;CA;37.4418834;-122.1430195
59;Lockheed Martin;56;51048;2002;46521;96589;100000;Marillyn A. Hewson;Chairman, President &  Chief Executive Officer;Female;Aerospace &  Defense;Aerospace and Defense;24;Bethesda;MD;38.984652;-77.0947092
60;AIG;55;49520;-6084;498301;49145;49800;Brian Duperreault;President, Chief Executive Officer &  Director;Male;Financials;Insurance: Property and Casualty (Stock);24;New York;NY;40.7127753;-74.0059728
61;Centene;66;48572;828;21855;18704;33700;Michael F. Neidorff;Chairman &  Chief Executive Officer;Male;Health Care;Health Care: Insurance and Managed Care;9;St. Louis;MO;38.6270025;-90.1994042
62;Cisco Systems;60;48005;9609;129818;206623;72900;Charles H. Robbins;Chairman &  Chief Executive Officer;Male;Technology;Network and Other Communications Equipment;22;San Jose;CA;37.3382082;-121.8863286
63;HCA Healthcare;63;47653;2216;36593;34165;221491;R. Milton Johnson;Chairman &  Chief Executive Officer;Male;Health Care;Health Care: Medical Facilities;24;Nashville;TN;36.1626638;-86.7816016
64;Energy Transfer Equity;79;47487;954;86246;15335;29486;John W. McReynolds;President &  Director;Male;Energy;Pipelines;12;Dallas;TX;32.7766642;-96.7969879
65;Caterpillar;74;45462;754;76962;88078;98400;D. James Umpleby III;Chairman &  Chief Executive Officer;Male;Industrials;Construction and Farm Machinery;24;Deerfield;IL;42.1711365;-87.8445119
66;Nationwide;68;43940;246.5;221257;NA;33135;Stephen S. Rasmussen;Chief Executive Officer;Male;Financials;Insurance: Property and Casualty (Mutual);24;Columbus;OH;39.9611755;-82.9987942
67;Morgan Stanley;76;43642;6111;851733;96688;57633;James P. Gorman;Chairman &  Chief Executive Officer;Male;Financials;Commercial Banks;24;New York;NY;40.7127753;-74.0059728
68;Liberty Mutual Insurance Group;75;42687;17;142502;NA;50000;David H. Long;Chairman, President &  Chief Executive Officer;Male;Financials;Insurance: Property and Casualty (Stock);24;Boston;MA;42.3600825;-71.0588801
69;New York Life Insurance;65;42296;1866.9;303183;NA;11114;Theodore A. Mathas;Chairman &  Chief Executive Officer;Male;Financials;Insurance: Life, Health (Mutual);24;New York;NY;40.7127753;-74.0059728
70;Goldman Sachs Group;78;42254;4286;916776;95463;36600;Lloyd C. Blankfein;Chairman &  Chief Executive Officer;Male;Financials;Commercial Banks;19;New York;NY;40.7127753;-74.0059728
71;American Airlines Group;67;42207;1919;51396;24584;126600;W. Douglas Parker;Chairman &  Chief Executive Officer;Male;Transportation;Airlines;24;Fort Worth;TX;32.7554883;-97.3307658
72;Best Buy;72;42151;1000;13049;20460;125000;Hubert B. Joly;Chairman &  Chief Executive Officer;Male;Retailing;Specialty Retailers: Other;24;Richfield;MN;44.8832982;-93.2830021
73;Cigna;70;41616;2237;61753;40735;46000;David M. Cordani;President, Chief Executive Officer &  Director;Male;Health Care;Health Care: Insurance and Managed Care;24;Bloomfield;CT;41.826488;-72.7300945
74;Charter Communications;96;41581;9895;146623;80954;94800;Thomas M. Rutledge;Chairman &  Chief Executive Officer;Male;Telecommunications;Telecommunications;18;Stamford;CT;41.0534302;-73.5387341
75;Delta Air Lines;71;41244;3577;53292;38746;86564;Edward H. Bastian;Chairman &  Chief Executive Officer;Male;Transportation;Airlines;24;Atlanta;GA;33.7489954;-84.3879824
76;Facebook;98;40653;15934;84524;464190;25105;Mark Zuckerberg;Chairman &  Chief Executive Officer;Male;Technology;Internet Services and Retailing;6;Menlo Park;CA;37.4529598;-122.1817252
