Rank;Company;Previous Rank;Revenues ($M);Profits ($M);Assets ($M);Market Value ($M);Employees;CEO;CEO Title;CEO Gender;Sector;Industry;Years on Fortune 500 List;City;State;Latitude;Longitude
373;Masco;372;7644;533;5488;12590;26000;Keith J. Allman;President, Chief Executive Officer &  Director;Male;Household Products;Home Equipment, Furnishings;24;Livonia;MI;42.36837;-83.3527097
374;DXC Technology;NA;7607;-123;8663;28720;60000;J. Michael Lawrie;Chairman, President &  Chief Executive Officer;Male;Technology;Information Technology Services;1;Tysons;VA;38.9187222;-77.2310925
375;Auto-Owners Insurance;398;7604;645.7;23694;NA;5227;Jeffrey S. Tagsold;Chief Executive Officer &  Director;Male;Financials;Insurance: Property and Casualty (Mutual);16;Lansing;MI;42.732535;-84.5555347
376;Jones Financial (Edward Jones);403;7597;872;17176;NA;45000;James D. Weddle;Chief Executive Officer &  Managing Partner;Male;Financials;Securities;6;Des Peres;MO;38.59722;-90.448126
377;Liberty Media;491;7594;1354;41996;13816;4393;Gregory B. Maffei;President, Chief Executive Officer &  Director;Male;Media;Entertainment;2;Englewood;CO;39.6477653;-104.9877597
378;Erie Insurance Group;382;7535;857.5;20670;NA;5260;Timothy G. NeCastro;Chief Executive Officer;Male;Financials;Insurance: Property and Casualty (Mutual);15;Erie;PA;42.1292241;-80.085059
379;Hershey;369;7515;783;5554;20774;16135;Michele G. Buck;President, Chief Executive Officer &  Director;Female;Food, Beverages &  Tobacco;Food Consumer Products;24;Hershey;PA;40.2859239;-76.6502468
380;PPL;365;7447;1128;41479;19635;12512;William H. Spence;Chairman, President &  Chief Executive Officer;Male;Energy;Utilities: Gas and Electric;24;Allentown;PA;40.6022939;-75.4714098
381;Huntington Ingalls Industries;380;7441;479;6374;11539;38000;C. Michael Petters;President, Chief Executive Officer &  Director;Male;Aerospace &  Defense;Aerospace and Defense;6;Newport News;VA;37.0870821;-76.4730122
382;Mosaic;377;7409;-107.2;18633;9358;8500;James C. O'Rourke;President, Chief Executive Officer &  Director;Male;Chemicals;Chemicals;13;Plymouth;MN;45.0105194;-93.4555093
383;J.M. Smucker;346;7392;592.3;15640;14087;7140;Mark T. Smucker;President, Chief Executive Officer &  Director;Male;Food, Beverages &  Tobacco;Food Consumer Products;8;Orrville;OH;;
384;Delek US Holdings;480;7350;288.8;5935;3416;3941;Ezra Uzi Yemin;Chairman, President &  Chief Executive Officer;Male;Energy;Petroleum Refining;4;Brentwood;TN;36.0331164;-86.7827772
385;Newmont Mining;328;7348;-98;20563;20853;12569;Gary J. Goldberg;President, Chief Executive Officer &  Director;Male;Energy;Mining, Crude-Oil Production;15;Greenwood Village;CO;39.6172101;-104.9508141
386;Constellation Brands;408;7332;1535.1;18602;44379;8700;Robert S. Sands;Chairman &  Chief Executive Officer;Male;Food, Beverages &  Tobacco;Beverages;6;Victor;NY;42.9825633;-77.4088794
387;Ryder System;394;7330;790.6;11452;3867;36100;;Chairman, President &  Chief Executive Officer;Male;Transportation;Trucking, Truck Leasing;24;Miami;FL;25.7616798;-80.1917902
388;National Oilwell Varco;375;7304;-237;20206;13993;31605;Clay C. Williams;Chairman, President &  Chief Executive Officer;Male;Energy;Oil and Gas Equipment, Services;13;Houston;TX;29.7604267;-95.3698028
389;Adobe Systems;443;7302;1694;14536;106413;17973;Shantanu Narayen;Chairman, President &  Chief Executive Officer;Male;Technology;Computer Software;2;San Jose;CA;37.3382082;-121.8863286
390;LifePoint Health;374;7263;102.4;6286;1832;42000;William F. Carpenter III;Chairman &  Chief Executive Officer;Male;Health Care;Health Care: Medical Facilities;4;Brentwood;TN;36.0331164;-86.7827772
391;Tractor Supply;396;7256;422.6;2869;7807;21000;Gregory A. Sandfort;Chairman &  Chief Executive Officer;Male;Retailing;Specialty Retailers: Other;5;Brentwood;TN;36.0331164;-86.7827772
392;Thor Industries;540;7247;374.3;2558;6069;17800;Robert W. Martin;President, Chief Executive Officer &  Director;Male;Motor Vehicles &  Parts;Motor Vehicles and Parts;1;Elkhart;IN;41.6819935;-85.9766671
393;Dana;447;7209;111;5644;3741;30100;James K. Kamsickas;President, Chief Executive Officer &  Director;Male;Motor Vehicles &  Parts;Motor Vehicles and Parts;24;Maumee;OH;41.5628294;-83.6538244
394;Weyerhaeuser;341;7196;582;18059;26463;9300;Doyle R. Simons;President, Chief Executive Officer &  Director;Male;Materials;Forest and Paper Products;24;Seattle;WA;47.6062095;-122.3320708
395;J.B. Hunt Transport Services;407;7190;686.3;4465;12858;24681;John N. Roberts III;President, Chief Executive Officer &  Director;Male;Transportation;Trucking, Truck Leasing;6;Lowell;AR;36.2553543;-94.1307587
396;Darden Restaurants;385;7170;479.1;5504;10531;178729;Eugene I. Lee Jr.;President, Chief Executive Officer &  Director;Male;Hotels, Restaurants &  Leisure;Food Services;22;Orlando;FL;28.5383355;-81.3792365
397;Yum China Holdings;399;7144;403;4263;16009;450000;Joey Wat;Chairman &  Chief Executive Officer;Female;Hotels, Restaurants &  Leisure;Food Services;2;Plano;TX;33.0198431;-96.6988856
398;Blackstone Group;503;7119;1470.8;34429;21058;2360;Stephen A. Schwarzman;Chairman &  Chief Executive Officer;Male;Financials;Diversified Financials;3;New York;NY;40.7127753;-74.0059728
399;Berry Global Group;413;7095;340;8476;7191;23000;Thomas E. Salmon;Chairman &  Chief Executive Officer;Male;Materials;Packaging, Containers;2;Evansville;IN;37.9715592;-87.5710898
400;Builders FirstSource;421;7034;38.8;3006;2264;15000;M. Chad Crow;President, Chief Executive Officer &  Director;Male;Materials;Building Materials, Glass;2;Dallas;TX;32.7766642;-96.7969879
401;Activision Blizzard;406;7017;273;18668;51177;9800;Robert A. Kotick;Chairman &  Chief Executive Officer;Male;Technology;Entertainment;2;Santa Monica;CA;34.0194543;-118.4911912
402;JetBlue Airways;403;7015;1147;9781;6540;17424;Robin Hayes;President, Chief Executive Officer &  Director;Male;Transportation;Airlines;6;New York;NY;40.744679;-73.9485424
403;Amphenol;424;7011;650.5;10004;26311;70000;R. Adam Norwitt;President, Chief Executive Officer &  Director;Male;Technology;Network and Other Communications Equipment;4;Wallingford;CT;41.4570108;-72.8230736
404;A-Mark Precious Metals;395;6990;07. Jan;479;86;126;Gregory N. Roberts;Chairman &  Chief Executive Officer;Male;Materials;Miscellaneous;4;El Segundo;CA;33.9191799;-118.4164652
405;Spirit AeroSystems Holdings;393;6983;354.9;5268;9595;15500;Thomas C. Gentile III;President, Chief Executive Officer &  Director;Male;Aerospace &  Defense;Aerospace and Defense;4;Wichita;KS;37.6871761;-97.330053
406;R.R. Donnelley & Sons;388;6940;-34.4;3905;612;42700;Daniel L. Knotts;President, Chief Executive Officer &  Director;Male;Media;Publishing, Printing;24;Chicago;IL;41.8781136;-87.6297982
407;Harris;363;6939;553;10090;19149;17000;William M. Brown;Chairman, President &  Chief Executive Officer;Male;Aerospace &  Defense;Aerospace and Defense;14;Melbourne;FL;28.0836269;-80.6081089
408;Expeditors Intl. of Washington;429;6921;489.3;3117;11087;16500;Jeffrey S. Musser;President, Chief Executive Officer &  Director;Male;Transportation;Transportation and Logistics;11;Seattle;WA;47.6062095;-122.3320708
409;Discovery;412;6873;-337;22555;11156;7000;David M. Zaslav;President, Chief Executive Officer &  Director;Male;Media;Entertainment;5;Silver Spring;MD;38.9906657;-77.026088
410;Owens-Illinois;401;6869;180;9756;3538;26500;Andres A. Lopez;President, Chief Executive Officer &  Director;Male;Materials;Packaging, Containers;24;Perrysburg;OH;41.556996;-83.627157
411;Sanmina;414;6869;138.8;3847;1863;41250;Robert K. Eulau;Chairman &  Chief Executive Officer;Male;Technology;Semiconductors and Other Electronic Components;18;San Jose;CA;37.3382082;-121.8863286
412;KeyCorp;479;6868;1296;137698;20570;18415;Beth E. Mooney;Chairman, President &  Chief Executive Officer;Female;Financials;Commercial Banks;20;Cleveland;OH;41.49932;-81.6943605
413;American Financial Group;411;6865;475;60658;9923;7600;Carl H. Lindner lll/S. Craig Lindner;President, Co-Chief Executive Officer &  Director;Male;Financials;Insurance: Property and Casualty (Stock);19;Cincinnati;OH;39.1031182;-84.5120196
414;Oshkosh;425;6830;285.6;5099;5768;14000;Wilson R. Jones;President, Chief Executive Officer &  Director;Male;Industrials;Construction and Farm Machinery;11;Oshkosh;WI;44.0247062;-88.5426136
415;Rockwell Collins;492;6822;705;17997;22108;29000;Robert K. Ortberg;Chairman, President &  Chief Executive Officer;Male;Aerospace &  Defense;Aerospace and Defense;7;Cedar Rapids;IA;41.9778795;-91.6656232
416;Kindred Healthcare;376;6768;-698.4;5233;836;64200;Benjamin A. Breier;President, Chief Executive Officer &  Director;Male;Health Care;Health Care: Medical Facilities;15;Louisville;KY;38.2526647;-85.7584557
417;Insight Enterprises;473;6704;90.7;2686;1252;6697;Kenneth T. Lamneck;President, Chief Executive Officer &  Director;Male;Technology;Information Technology Services;10;Tempe;AZ;33.4255104;-111.9400054
418;Dr Pepper Snapple Group;416;6690;1076;10022;21278;21000;Larry D. Young;President, Chief Executive Officer &  Director;Male;Food, Beverages &  Tobacco;Beverages;10;Plano;TX;33.0198431;-96.6988856
419;American Tower;449;6664;1238.9;33214;64073;4752;James D. Taiclet Jr.;Chairman, President &  Chief Executive Officer;Male;Financials;Real estate;2;Boston;MA;42.3600825;-71.0588801
420;Fortive;NA;6656;1044.5;10501;26979;26000;James A. Lico;President, Chief Executive Officer &  Director;Male;Industrials;Industrial Machinery;1;Everett;WA;47.9789848;-122.2020795
421;Ralph Lauren;371;6653;-99.3;5652;9088;18250;Patrice Louvet;President, Chief Executive Officer &  Director;Male;Apparel;Apparel;10;New York;NY;40.7127753;-74.0059728
422;HRG Group;418;6650;106;35850;3328;17113;Joseph S. Steinberg;Chairman &  Chief Executive Officer;Male;Household Products;Household and Personal Products;5;New York;NY;40.7127753;-74.0059728
423;Ascena Retail Group;384;6650;-1067.3;3872;394;40000;David R. Jaffe;Chairman &  Chief Executive Officer;Male;Retailing;Specialty Retailers: Apparel;2;Mahwah;NJ;41.0886216;-74.1435843
424;United Rentals;452;6641;1346;15030;14537;14800;Michael J. Kneeland;Chairman &  Chief Executive Officer;Male;Business Services;Miscellaneous;5;Stamford;CT;41.0534302;-73.5387341
425;Caseys General Stores;423;6641;177.5;3020;4120;25463;Terry W. Handley;President, Chief Executive Officer &  Director;Male;Retailing;Specialty Retailers: Other;8;Ankeny;IA;41.7317884;-93.6001278
426;Graybar Electric;420;6631;71.6;2261;NA;8500;Kathleen M. Mazzarella;Chairman, President &  Chief Executive Officer;Female;Wholesalers;Wholesalers: Diversified;24;St. Louis;MO;38.6270025;-90.1994042
427;Avery Dennison;430;6614;281.8;5137;9361;30000;;President, Chief Executive Officer &  Director;Male;Materials;Packaging, Containers;24;Glendale;CA;34.1425078;-118.255075
428;MasTec;502;6607;347.2;4067;3874;17300;Jose R. Mas;Chief Executive Officer;Male;Engineering &  Construction;Engineering, Construction;1;Coral Gables;FL;25.72149;-80.2683838
429;CMS Energy;419;6583;460;23050;12793;7887;Patricia K. Poppe;President, Chief Executive Officer &  Director;Female;Energy;Utilities: Gas and Electric;24;Jackson;MI;42.245869;-84.4013462
430;HD Supply Holdings;364;6534;970;4318;7040;11000;Joseph J. DeAngelo;Chairman, President &  Chief Executive Officer;Male;Wholesalers;Wholesalers: Diversified;6;Atlanta;GA;33.7489954;-84.3879824
431;Raymond James Financial;469;6525;636.2;34884;13019;12700;Paul C. Reilly;Chairman &  Chief Executive Officer;Male;Financials;Securities;3;St. Petersburg;FL;27.7676008;-82.6402915
432;NCR;409;6516;232;7654;3737;34000;Michael D. Hayford;Chief Executive Officer &  Director;Male;Technology;Computers, Office Equipment;21;Atlanta;GA;33.7489954;-84.3879824
433;Hanesbrands;432;6478;61.9;6895;6638;67200;Gerald W. Evans Jr.;Chairman &  Chief Executive Officer;Male;Apparel;Apparel;4;Winston-Salem;NC;36.0998596;-80.244216
434;Asbury Automotive Group;410;6457;139.1;2357;1412;8000;David W. Hult;President, Chief Executive Officer &  Director;Male;Retailing;Automotive Retailing, Services;12;Duluth;GA;34.0028786;-84.1446376
435;Citizens Financial Group;451;6454;1652;152336;20474;17594;Bruce W. Van Saun;Chairman, President &  Chief Executive Officer;Male;Financials;Commercial Banks;3;Providence;RI;41.8239891;-71.4128343
436;Packaging Corp. of America;450;6445;668.6;6198;10633;14600;Mark W. Kowlzan;Chairman &  Chief Executive Officer;Male;Materials;Packaging, Containers;4;Lake Forest;IL;42.2586342;-87.840625
437;Alleghany;428;6425;90.1;25384;9460;4402;Weston M. Hicks;President, Chief Executive Officer &  Director;Male;Financials;Insurance: Property and Casualty (Stock);4;New York;NY;40.7127753;-74.0059728
438;Apache;488;6423;1304;21922;14678;3356;John J. Christmann IV;President, Chief Executive Officer &  Director;Male;Energy;Mining, Crude-Oil Production;15;Houston;TX;29.7604267;-95.3698028
439;Dillards;417;6423;221.3;3673;2289;31400;William T. Dillard II;Chairman &  Chief Executive Officer;Male;Retailing;General Merchandisers;24;Little Rock;AR;34.7464809;-92.2895948
440;Assurant;361;6415;519.6;31843;4803;14175;Alan B. Colberg;President, Chief Executive Officer &  Director;Male;Financials;Insurance: Property and Casualty (Stock);14;New York;NY;40.7127753;-74.0059728
441;Franklin Resources;405;6392;1696.7;17534;19133;9386;Gregory E. Johnson;Chairman &  Chief Executive Officer;Male;Financials;Securities;13;San Mateo;CA;37.5629917;-122.3255254
442;Owens Corning;458;6384;289;8632;8982;17000;Michael H. Thaman;Chairman, President &  Chief Executive Officer;Male;Materials;Building Materials, Glass;24;Toledo;OH;41.6528052;-83.5378674
443;Motorola Solutions;433;6380;-155;8208;17027;15000;Gregory Q. Brown;Chairman &  Chief Executive Officer;Male;Technology;Network and Other Communications Equipment;24;Chicago;IL;41.8781136;-87.6297982
444;NVR;446;6322;537.5;2989;10262;5200;Paul C. Saville;President, Chief Executive Officer &  Director;Male;Engineering &  Construction;Homebuilders;9;Reston;VA;38.9586307;-77.3570028
445;Rockwell Automation;442;6311;825.7;7162;22260;22000;Blake D. Moret;Chairman, President &  Chief Executive Officer;Male;Industrials;Electronics, Electrical Equip.;24;Milwaukee;WI;43.0389025;-87.9064736
446;TreeHouse Foods;427;6307;-286.2;5779;2159;13489;;President, Chief Executive Officer &  Director;Male;Food, Beverages &  Tobacco;Food Consumer Products;2;Oak Brook;IL;41.8397865;-87.9535534
447;Wynn Resorts;548;6306;747.2;12682;19778;25200;Matthew O. Maddox;President, Chief Executive Officer &  Director;Male;Hotels, Restaurants &  Leisure;Hotels, Casinos, Resorts;5;Las Vegas;NV;36.1699412;-115.1398296
448;Olin;467;6268;549.5;9218;5081;6400;John E. Fischer;Chairman, President &  Chief Executive Officer;Male;Chemicals;Chemicals;5;Clayton;MO;38.6425518;-90.3237263
449;American Axle & Manufacturing;593;6266;337.1;7883;1699;25000;David C. Dauch;Chairman &  Chief Executive Officer;Male;Motor Vehicles &  Parts;Motor Vehicles and Parts;4;Detroit;MI;42.331427;-83.0457538
450;Old Republic International;439;6263;560.5;19404;5778;8700;Aldo C. Zucaro;Chairman &  Chief Executive Officer;Male;Financials;Insurance: Property and Casualty (Stock);7;Chicago;IL;41.8781136;-87.6297982
451;Chemours;482;6183;746;7293;8840;7000;Mark P. Vergnano;President, Chief Executive Officer &  Director;Male;Chemicals;Chemicals;2;Wilmington;DE;39.7390721;-75.5397878
452;iHeartMedia;426;6178;-704.4;12257;39;18700;Robert W. Pittman;Chairman &  Chief Executive Officer;Male;Media;Entertainment;18;San Antonio;TX;29.4241219;-98.4936282
453;Ameren;431;6177;523;25945;13740;8615;Warner L. Baxter;Chairman, President &  Chief Executive Officer;Male;Energy;Utilities: Gas and Electric;21;St. Louis;MO;38.6270025;-90.1994042
454;Arthur J. Gallagher;462;6160;463.1;12897;12512;26783;J. Patrick Gallagher Jr.;Chairman, President &  Chief Executive Officer;Male;Financials;Diversified Financials;3;Rolling Meadows;IL;42.0841936;-88.0131275
455;Celanese;484;6140;843;9538;13611;7592;Mark C. Rohr;Chairman, President &  Chief Executive Officer;Male;Chemicals;Chemicals;13;Irving;TX;32.8140177;-96.9488945
456;Sealed Air;397;6131;814.9;5280;7162;15000;Edward L. Doheny II;President, Chief Executive Officer &  Director;Male;Materials;Packaging, Containers;21;Charlotte;NC;35.2270869;-80.8431267
457;UGI;457;6121;436.6;11582;7685;13000;John L. Walsh;President, Chief Executive Officer &  Director;Male;Energy;Energy;14;King of Prussia;PA;40.1012856;-75.3835525
458;Realogy Holdings;448;6114;431;7337;3568;11800;Ryan M. Schneider;President, Chief Executive Officer &  Director;Male;Financials;Real estate;8;Madison;NJ;;
459;Burlington Stores;463;6110;384.9;2813;9018;40000;Thomas A. Kingsbury;Chairman, President &  Chief Executive Officer;Male;Retailing;Specialty Retailers: Apparel;3;Burlington;NJ;40.071222;-74.8648873
460;Regions Financial;436;6093;1263;124294;20861;21714;O.B. Grayson Hall Jr.;Chairman &  Chief Executive Officer;Male;Financials;Commercial Banks;20;Birmingham;AL;33.5206608;-86.80249
461;AK Steel Holding;441;6081;06. Feb;4296;1428;9200;Roger K. Newport;Chairman &  Chief Executive Officer;Male;Materials;Metals;18;Beckett Ridge;OH;39.3321262;-84.4172666
462;Securian Financial Group;532;6067;418.9;51232;NA;5000;Christopher M. Hilger;Chairman, President &  Chief Executive Officer;Male;Financials;Insurance: Life, Health (stock);1;St Paul;MN;44.9537029;-93.0899578
463;S& P Global;459;6063;1496;9425;47643;20400;Douglas L. Peterson;President, Chief Executive Officer &  Director;Male;Business Services;Financial Data Services;24;New York;NY;40.7127753;-74.0059728
464;Markel;460;6062;395.3;32805;16264;15600;Thomas S. Gayner/Richard R. Whitt III;Co-Chief Executive Officer &  Director;Male;Financials;Insurance: Property and Casualty (Stock);3;Glen Allen;VA;37.665978;-77.5063739
465;TravelCenters of America;470;6052;09. Mrz;1618;144;19611;Andrew J. Rebholz;Chief Executive Officer &  Director;Male;Retailing;Specialty Retailers: Other;11;Westlake;OH;41.4553232;-81.9179173
466;Conduent;NA;6022;181;7548;3923;90000;Ashok Vemuri;Chairman &  Chief Executive Officer;Male;Business Services;Diversified Outsourcing Services;1;Florham Park;NJ;40.787878;-74.3882072
467;M& T Bank Corp.;455;6019;1408.3;118594;27379;16354;Rene F. Jones;Chairman &  Chief Executive Officer;Male;Financials;Commercial Banks;3;Buffalo;NY;42.8864468;-78.8783689
468;Clorox;453;5973;701;4573;17225;8100;Benno O. Dorer;Chairman &  Chief Executive Officer;Male;Household Products;Household and Personal Products;19;Oakland;CA;37.8043637;-122.2711137
469;AmTrust Financial Services;475;5959;-348.9;25219;2416;9300;Barry D. Zyskind;Chairman, President &  Chief Executive Officer;Male;Financials;Insurance: Property and Casualty (Stock);2;New York;NY;40.7127753;-74.0059728
470;KKR;656;5930;1018.3;45835;9882;1184;Henry R. Kravis/George R. Roberts;Co-Chairman &  Co-Chief Executive Officer;Male;Financials;Securities;6;New York;NY;40.7127753;-74.0059728
471;Ulta Beauty;524;5885;555.2;2909;12459;24200;Mary N. Dillon;Chairman &  Chief Executive Officer;Female;Retailing;Specialty Retailers: Other;1;Bolingbrook;IL;41.6986416;-88.0683955
472;Yum Brands;422;5878;1340;5311;28307;60000;Greg Creed;Chief Executive Officer &  Director;Male;Hotels, Restaurants &  Leisure;Food Services;20;Louisville;KY;38.2526647;-85.7584557
473;Regeneron Pharmaceuticals;523;5872;1198.5;8764;37087;6200;Leonard S. Schleifer;President, Chief Executive Officer &  Director;Male;Health Care;Pharmaceuticals;1;Tarrytown;NY;41.0762077;-73.8587461
474;Windstream Holdings;485;5853;-2116.6;11084;289;12979;Anthony W. Thomas;President, Chief Executive Officer &  Director;Male;Telecommunications;Telecommunications;6;Little Rock;AR;34.7464809;-92.2895948
475;Magellan Health;526;5838;110.2;2957;2605;10700;Barry M. Smith;Chairman &  Chief Executive Officer;Male;Health Care;Health Care: Insurance and Managed Care;1;Scottsdale;AZ;33.4941704;-111.9260519
476;Western & Southern Financial;483;5836;310.4;46395;NA;2226;John F. Barrett;Chairman, President &  Chief Executive Officer;Male;Financials;Insurance: Life, Health (Mutual);14;Cincinnati;OH;39.1031182;-84.5120196
477;Intercontinental Exchange;437;5834;2514;78264;42132;4952;Jeffrey C. Sprecher;Chairman &  Chief Executive Officer;Male;Financials;Securities;2;Atlanta;GA;33.7489954;-84.3879824
478;Ingredion;456;5832;519;6080;9313;11000;James P. Zallie;President, Chief Executive Officer &  Director;Male;Food, Beverages &  Tobacco;Food Production;7;Westchester;IL;41.8498339;-87.8806738
479;Wyndham Destinations;461;5821;871;10403;11411;39200;Michael D. Brown;Chairman &  Chief Executive Officer;Male;Hotels, Restaurants &  Leisure;Hotels, Casinos, Resorts;5;Parsippany-Troy Hills;NJ;40.8652865;-74.4173877
480;Toll Brothers;497;5815;535.5;9445;6566;4500;Douglas C. Yearley Jr.;Chairman &  Chief Executive Officer;Male;Engineering &  Construction;Homebuilders;6;Horsham;PA;40.1784422;-75.1285061
481;Seaboard;486;5809;247;5161;4992;11800;Steven J. Bresky;Chairman, President &  Chief Executive Officer;Male;Food, Beverages &  Tobacco;Food Production;8;Merriam;KS;39.0236165;-94.6935701
482;Booz Allen Hamilton;481;5804;252.5;3373;5617;23300;Horacio D. Rozanski;;Male;Technology;Information Technology Services;8;McLean;VA;38.9338676;-77.1772604
483;First American Financial;464;5772;423;9573;6511;18705;Dennis J. Gilmore;Chairman &  Chief Executive Officer;Male;Financials;Insurance: Property and Casualty (Stock);4;Santa Ana;CA;33.7454725;-117.867653
484;Cincinnati Financial;476;5732;1045;21843;12185;4925;Steven J. Johnston;President, Chief Executive Officer &  Director;Male;Financials;Insurance: Property and Casualty (Stock);4;Fairfield;OH;39.3454673;-84.5603187
485;Avon Products;444;5716;22;3698;1251;25000;Jan Zijderveld;Chairman &  Chief Executive Officer;Male;Household Products;Household and Personal Products;24;Rye;NY;40.9806535;-73.6837399
486;Northern Trust;501;5716;1199;138591;23264;18100;Michael G. O'Grady;President, Chief Executive Officer &  Director;Male;Financials;Commercial Banks;7;Chicago;IL;41.8781136;-87.6297982
487;Fiserv;471;5696;1246;10289;29466;24000;;President, Chief Executive Officer &  Director;Male;Business Services;Financial Data Services;8;Brookfield;WI;43.0605671;-88.1064787
488;Harley-Davidson;435;5647;521.8;9973;7198;5800;Matthew S. Levatich;President, Chief Executive Officer &  Director;Male;Transportation;Transportation Equipment;17;Milwaukee;WI;43.0389025;-87.9064736
489;Cheniere Energy;NA;5601;-393;27906;12703;1230;Jack A. Fusco;President, Chief Executive Officer &  Director;Male;Energy;Energy;1;Houston;TX;29.7604267;-95.3698028
490;Patterson;466;5593;170.9;3508;2104;7500;Mark S. Walchirk;President, Chief Executive Officer &  Director;Male;Wholesalers;Wholesalers: Health Care;2;St Paul;MN;44.9537029;-93.0899578
491;Peabody Energy;533;5579;NA;8181;4649;7100;Glenn L. Kellow;President, Chief Executive Officer &  Director;Male;Energy;Mining, Crude-Oil Production;13;St. Louis;MO;38.6270025;-90.1994042
492;ON Semiconductor;598;5543;810.7;7195;10406;34000;Keith D. Jackson;President, Chief Executive Officer &  Director;Male;Technology;Semiconductors and Other Electronic Components;1;Phoenix;AZ;33.4483771;-112.0740373
493;Simon Property Group;477;5539;1948;32258;47861;4150;David E. Simon;Chairman &  Chief Executive Officer;Male;Financials;Real estate;5;Indianapolis;IN;39.768403;-86.158068
494;Western Union;478;5524;-557.1;9231;8857;11500;Hikmet Ersek;President, Chief Executive Officer &  Director;Male;Business Services;Financial Data Services;12;Englewood;CO;39.6477653;-104.9877597
495;NetApp;468;5519;509;9493;16528;10100;George Kurian;President, Chief Executive Officer &  Director;Male;Technology;Computers, Office Equipment;7;Sunnyvale;CA;;
496;Polaris Industries;537;5505;172.5;3090;7224;11000;Scott W. Wine;Chairman &  Chief Executive Officer;Male;Transportation;Transportation Equipment;1;Medina;MN;45.0352411;-93.5824586
497;Pioneer Natural Resources;606;5455;833;17003;29254;3836;Timothy L. Dove;President, Chief Executive Officer &  Director;Male;Energy;Mining, Crude-Oil Production;2;Irving;TX;32.8140177;-96.9488945
498;ABM Industries;500;5454;03. Aug;3813;2200;140000;Scott B. Salmirs;President, Chief Executive Officer &  Director;Male;Business Services;Diversified Outsourcing Services;3;New York;NY;40.7127753;-74.0059728
499;Vistra Energy;499;5430;-254;14600;8925;4150;Curtis A. Morgan;President, Chief Executive Officer &  Director;Male;Energy;Energy;2;Irving;TX;32.8140177;-96.9488945
500;Cintas;520;5429;480.7;6844;18165;42000;Scott D. Farmer;Chairman &  Chief Executive Officer;Male;Business Services;Diversified Outsourcing Services;1;Cincinnati;OH;39.1031182;-84.5120196
